id:ID,value
426,"ncf10032238"
427,"102286"
428,"987007269882405171"
429,"washington-george-x00b0"
430,"149049"
431,"65862"
432,"17729"
433,"n2004336619"
434,"washington"
435,"p=george;n=washington"
436,"pioneer/george-washington"
437,"137198"
438,"00040239n"
439,"\u30B8\u30E7\u30FC\u30B8\u30FB\u30EF\u30B7\u30F3\u30C8\u30F3"
440,"20037631"
441,"b16a4139b"
442,"3567195"
443,"CAAqIQgKIhtDQkFTRGdvSUwyMHZNRE0wY21RU0FtcGhLQUFQAQ"
444,"503"
445,"49482"
446,"H0006254"
447,"UsefulNotes/GeorgeWashington"
448,"91180"
449,"3112"
450,"KNDX-MKG"
451,"81b27f6a-180b-490a-9c5d-67ac2ddad90c"
452,"vtls011597656"
453,"9911"
454,"11395413-n"
455,"George_Washington"
456,"people/5626"
457,"Q144298"
458,"george-washington"
459,"0723BA5E-02A2-4717-91B8-D36071982661"
460,"130999867"
461,"1966-02-18T00:00:00Z"
462,"/m/022jzf"
463,"http://commons.wikimedia.org/wiki/Special:FilePath/Kiefer%20Sutherland%20at%2024%20Redemption%20premiere%201%20%28headshot%29.jpg"
464,"Jack Bauer"
465,""
466,"Jack-Bauer"
468,"topic/Jack-Bauer"
469,"24:Jack_Bauer"
470,""
471,"agent/base/148822"
472,"Characters/TwentyFourJackBauer"
473,"03111055n"
474,"24/Characters#Jack_Bauer_(Kiefer_Sutherland)"
475,"1952-03-11T00:00:00Z"
476,"2001-05-11T00:00:00Z"
477,"http://commons.wikimedia.org/wiki/Special:FilePath/Douglas%20Adams%27%20gravestone.jpg"
478,"90196888"
479,"Douglas Adams"
480,"http://commons.wikimedia.org/wiki/Special:FilePath/Douglas%20adams%20portrait%20cropped.jpg"
481,"Douglas No\u00EBl Adams"
482,"000057405"
483,"n80076765"
484,"000002833"
485,"113230702"
486,"nm0010930"
487,"Douglas Adams"
488,"00430962"
489,"e9ed318d-8cc5-4cf8-ab77-505e39ab6ea4"
490,"11888092r"
491,"119033364"
492,"22814"
493,"230807"
494,"068744307"
495,"000163846"
496,"/m/0282x"
497,"a10667040"
498,"Arts/Literature/Authors/A/Adams,_Douglas/"
499,"122"
500,"00000020676"
501,"douglas-adams"
502,"A11573065"
503,"mp60152"
504,"731/000023662"
505,"DA07517784"
506,"https://douglasadams.com/"
507,"134923"
508,"OL272947A"
509,"celebrity/douglas_adams"
510,"10014"
511,"97049"
512,"p279442"
513,"45993"
514,"271209"
515,"847711"
516,"56544"
517,"biography/Douglas-Adams"
518,"douglas_adams"
519,"208947"
520,"246164"
521,"1289170"
522,"159696"
523,"39534"
524,"4"
525,"books/douglasadams"
526,"238p"
527,"Douglas-Adams-4"
528,"w65h7md1"
529,"aa075cb6-75bf-46d8-b0bf-9751d6c04c93"
530,"+1.96"
531,"douglas-adams"
532,"http://commons.wikimedia.org/wiki/Special:FilePath/Douglas%20Adams%20signature.svg"
533,"Douglas_Noel_Adams_(1952-2001)"
534,"douglas-adams-61st-birthday"
535,"307812da-da11-4ee5-a906-31e5ce9694bb"
536,"75853"
537,"Adams-32825"
538,"adamsdou"
539,"2627"
540,"6050147"
541,"AdamsDouglas"
542,"adams-douglas-noel"
543,"6000000050650155828"
544,"CAAqJQgKIh9DQkFTRVFvSUwyMHZNREk0TW5nU0JXVnVMVWRDS0FBUAE"
545,"adams_douglas"
546,"AdamsDouglas1952-2001"
547,"42"
548,"a/douglas-adams"
549,"143"
550,"a1221374"
551,"1zcfh30k0gr4zxt"
552,"douglas-noel-adams"
553,"026677636"
554,"0000 0000 8045 6315"
555,"jn19990000029"
556,"XX1149955"
557,"0052C2705"
558,"35163268"
559,"IT\\ICCU\\RAVV\\034417"
560,"n94004172"
561,"68537"
562,"000010283"
563,"3040-1126"
564,"4040-45935"
565,"Creator/DouglasAdams"
566,"Douglas_Adams"
567,"47671"
568,"770139179"
569,"770139180"
570,"KAC200300379"
571,"25"
572,"adamsdouglas-1"
573,"agent/base/59925"
574,"lccn-n80076765"
575,"140290"
576,"02-A002907983"
577,"87097968038642"
578,"9810669145205606"
579,"vtls005710289"
580,"000750942"
581,"000592321"
582,"a1112474x"
584,"03688580n"
585,"1032346"
586,"B000AQ2A84"
587,"74033"
588,"337"
589,"753186"
590,"23878"
591,"46398"
592,"a38"
593,"160192"
594,"199918"
595,"183956"
596,"898203"
597,"59932"
598,"432740401"
599,"52843"
600,"52843"
601,"665243"
602,"people/douglas-adams"
603,"person/douglas-adams"
604,"douglas-adams"
605,"278771"
606,"4ce2ba117755a"
607,"215853"
608,"212786"
609,"n0008574"
610,"2000059"
611,"26898"
612,"nm96558"
613,"M00000364497"
614,"55720"
615,"Douglas-Adams"
616,"mn0000803382"
617,"201077"
618,"4468812"
619,"Douglas-adams"
620,"41236"
621,"2080713"
622,"Douglas+Adams"
623,"Douglas-Adams"
624,"douglas_adams"
625,"00218511589"
626,"adams+douglas"
627,"Acv2pnc5mj2oxjxych7atdfljky"
628,"douglas-adams"
629,"douglas-adams"
630,"39a33dc4-5a81-4d67-91d6-1daecdb854e3"
631,"douglas-adams"
632,"douglas-adams"
633,"Douglas-Adams"
634,"2078791"
635,"21019"
636,"40761"
637,"168761"
638,"douglas-adams"
639,"000263040"
640,"16115"
641,"9XLD-SZS"
642,"119033364"
643,"ncf10168152"
644,"202604"
645,"987007305652505171"
646,"LNB:Mr+;=Bf"
647,"douglasadams"
648,"1430"
649,"3339"
650,"douglasadams"
651,"DouglasAdams"
652,"hitchhikers:Douglas_Adams"
653,"tardis:Douglas_Adams"
654,"ru.tardis:\u0414\u0443\u0433\u043B\u0430\u0441_\u0410\u0434\u0430\u043C\u0441"
655,"montypython:Douglas_Adams"
656,"dirkgently:Douglas_Adams"
657,"disney:Douglas_Adams"
658,"muppet:Douglas_Adams"
659,"getfuzzy:Douglas_Adams"
660,"readyplayerone:Douglas_Adams"
661,"U4994"
662,"1402475181"
663,"6391909"
664,"26792807"
665,"x2e9kt_zKEDI0dPr3sAfM_jyUhA"
666,"Douglas_Adams"
667,"David Agnew"
668,"23691"
669,"douglas-adams"
670,"douglas-adams"
671,"80743"
672,"Douglas_Adams"
673,"54277595"
674,"n90646362"
675,"119510928"
676,"12922802s"
677,"056759460"
678,"01174777"
679,"0000 0001 2096 1501"
680,"Paul Otlet"
681,"1868-08-23T00:00:00Z"
682,"1944-12-10T00:00:00Z"
683,"/m/0524xb"
684,"Paul Otlet"
685,"070644683"
686,"http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Otlet%20%C3%A0%20son%20bureau%20%28cropped%29.jpg"
687,"OL114368A"
688,"269377"
689,"XX1156883"
690,"500244636"
691,"36546735"
692,"1284826"
693,"biography/Paul-Otlet"
694,"441231"
695,"169709"
696,"90618586"
697,"411593"
698,"79406"
699,"mundaneum-co-founder-paul-otlets-147th-birthday"
700,"135"
701,"000502818"
702,"skuk0001031"
703,"0518152"
704,"KAC201004905"
705,"lccn-n90646362"
706,"119510928"
707,"a1125182"
708,"n98002645"
709,"495/220416"
710,"000566101"
711,"a20113134"
712,"ncf11873786"
713,"a11424552"
714,"a11424564"
715,"987007281064705171"
716,"LNB:o2g;=Bo"
717,"000050016"
718,"9810560098205606"
719,"1764641"
720,"45863"
721,"000057288"
722,"53323877"
723,"525"
724,"DA05598184"
725,"02-A003661372"
726,"278402"
727,"218090486"
728,"Paul Marie Ghislain Otlet"
729,"Paul Otlet"
730,"https://phabricator.wikimedia.org"
731,"http://commons.wikimedia.org/wiki/Special:FilePath/Wikidata-logo-en.svg"
732,"/m/0j9kvph"
733,"https://www.wikidata.org/"
734,"2012-10-30T00:00:00Z"
735,"Wikidata"
736,"Commons:Wikidata"
737,"https://stackoverflow.com/tags/wikidata"
738,"https://opendata.stackexchange.com/tags/wikidata"
739,"irc://irc.libera.chat/wikidata"
740,"wikidatawiki"
741,"+4498339"
742,"http://www.wikidata.org/entity/$1"
743,"wikidata"
744,"Wikidata"
745,"Wikidata"
746,"105776413863749545202"
747,"1940"
748,"Wikidata"
749,"Wikidata"
750,"Wikidata"
751,"wikidata"
752,"+7136"
753,"https://www.wikidata.org/w/index.php?search=$1"
754,"Wikidata"
755,"wikidata"
756,"XI-WIKIDATA"
757,"www.wikidata.org"
758,"https://query.wikidata.org/sparql"
759,"wikidata"
760,"Q2"
761,"590752"
762,"02886551n"
763,"d"
764,"wikidata"
765,"lexemes"
766,"wikidatachat"
767,"https://www.wikidata.org/w/api.php"
768,"Wikidata"
769,"19685879"
770,"WD"
771,"\u0412\u0414"
772,"\u0412\u0417"
773,"http://commons.wikimedia.org/wiki/Special:FilePath/Wikidata%20-%20pronounced%20by%20Andy%20Mabbett%20-%202019-10-25.ogg"
774,"http://commons.wikimedia.org/wiki/Special:FilePath/Wikidata-nl.ogg"
775,"Wikidata"
776,"https://foundation.wikimedia.org/wiki/Terms_of_Use"
777,"Wikidata"
778,"1192148479"
779,"Q4115189"
780,"Q13406268"
781,"Q15397819"
782,"P369"
783,"Q17339402"
784,"3.7/5 (Average)"
785,"Wikidata"
786,"http://commons.wikimedia.org/wiki/Special:FilePath/Wikidata%20main%20page%20screenshot.png"
787,"https://chat.wmcloud.org/wikimedia/channels/wikidata"
788,"wikidata"
789,"Wikidata"
790,"1888155769085727880005"
791,"no2019065326"
792,"http://commons.wikimedia.org/wiki/Special:FilePath/Wikidata%20Favicon%20color.svg"
793,"wikidata"
794,"+20806"
795,"\uC704\uD0A4\uB370\uC774\uD130"
796,"16837321658"
797,"221049808784326656"
798,"wikidata"
799,"2--469"
800,"PT"
801,"PRT"
802,"620"
803,"295480"
804,"Portugal"
805,"+351"
806,"http://commons.wikimedia.org/wiki/Special:FilePath/EU-Portugal.svg"
807,"http://commons.wikimedia.org/wiki/Special:FilePath/LocationPortugal.svg"
808,"http://commons.wikimedia.org/wiki/Special:FilePath/Portugal%20on%20the%20globe%20%28Europe%20centered%29.svg"
809,"http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Portugal.svg"
810,"Point(-9.1833333333333 38.7)"
811,"http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Portugal.svg"
812,"http://commons.wikimedia.org/wiki/Special:FilePath/Alentejo%20banner.jpg"
813,"00569163"
814,"4046843-4"
815,"PT"
816,"Regional/Europe/Portugal/"
817,"POR"
818,"781b0c54-3d54-362d-a941-8a617def4992"
819,"/m/05r4w"
820,"PO"
821,"2264397"
822,"Portugees"
823,"\u041F\u043E\u0440\u0442\u0443\u0433\u0430\u043B\u0430\u0446"
824,"\u041F\u043E\u0440\u0442\u0443\u0433\u0430\u043B\u043A\u0430"
825,"Portuguese"
826,"portug\u00E1l"
827,"portugu\u00EAs"
828,"Portugalano"
829,"Portug\u00E4nan"
830,"\u0628\u0631\u062A\u063A\u0627\u0644\u064A"
831,"\u0628\u0631\u062A\u063A\u0627\u0644\u064A\u0629"
832,"\u0628\u0631\u062A\u063A\u0627\u0644\u064A\u0648\u0646"
833,"\u043F\u043E\u0440\u0442\u0443\u0433\u0430\u043B\u0435\u0446"
834,"\u043F\u043E\u0440\u0442\u0443\u0433\u0430\u043B\u044C\u0446\u044B"
835,"\u043F\u043E\u0440\u0442\u0443\u0433\u0430\u043B\u043A\u0430"
836,"\u05E4\u05D5\u05E8\u05D8\u05D5\u05D2\u05D6\u05D9"
837,"\u05E4\u05D5\u05E8\u05D8\u05D5\u05D2\u05D6\u05D9\u05EA"
838,"Portugis"
839,"Portugisin"
840,"portughezi"
841,"portughez"
842,"portughez\u0103"
843,"\u09AA\u09B0\u09CD\u09A4\u09C1\u0997\u09BF\u099C"
844,"portoghese"
845,"portoghesi"
846,"portuges"
847,"portugu\u00E9s"
848,"portuguesa"
849,"Portugais"
850,"Portugaise"
851,"portugalo"
852,"+10295909"
853,"n80049716"
854,"119328454"
855,"11865344k"
856,"1208476"
857,"pu\u027Etu\u02C8\u0263a\u026B"
858,"Portugal"
859,"268"
860,"place/Portugal"
861,"+14"
862,"+230"
863,"2243"
864,"Point(-8.1988888888889 42.154166666667)"
865,"destination/portugal"
866,"world/portugal"
867,"+6"
868,"+18"
869,"+18"
870,"+18"
871,"+92212"
872,"portugal"
873,"+0.830"
874,"Portugal"
875,"PT-31"
876,"Point(-7.88698196 36.96024856)"
877,"Point(-6.19021386 41.57488702)"
878,"Point(-9.50053453 38.78099411)"
879,"99139"
880,"\U0001F1F5\U0001F1F9"
881,"pays/portugal"
882,"portugal"
883,"105409"
884,"portugal"
885,"1000090"
886,"17104-3"
887,"http://commons.wikimedia.org/wiki/Special:FilePath/Lb-Portugal.ogg"
888,"http://commons.wikimedia.org/wiki/Special:FilePath/Nl-Portugal.ogg"
889,"http://commons.wikimedia.org/wiki/Special:FilePath/En-us-Portugal.ogg"
890,"http://commons.wikimedia.org/wiki/Special:FilePath/LL-Q7913%20%28ron%29-KlaudiuMihaila-Portugalia.wav"
891,"concept919"
892,"P"
893,"10035824"
894,"94"
895,"P"
896,"55"
897,"+66"
898,"D011174"
899,"portugal"
900,"Portugalsk\u00E1 republika"
901,"Portugal"
902,"la R\u00E9publique portugaise"
903,"00063689n"
904,"+19620"
905,"10539"
906,"3160537"
907,"+1.21"
908,"263"
909,"0052349"
910,"pcrtVt6JFDVHQg"
911,"portugal"
912,"portugal"
913,"http://commons.wikimedia.org/data/main/Data:Portugal.map"
914,"Rep\u00FAblica Portuguesa"
915,"Portugal"
916,"0000 0001 2242 8399"
917,"37788"
918,"CAAqJQgKIh9DQkFTRVFvSUwyMHZNRFZ5TkhjU0JYQjBMVUpTS0FBUAE"
919,"14354"
920,"b0cfd00d-c7fd-41ac-9fb0-52ac13e769e8"
921,"XX4575378"
922,"026398516"
923,"2.16.620"
924,"3032"
925,"000979212"
926,"ge130488"
927,"+81.12683"
928,"upt"
929,"POR"
930,"12297a"
931,"PT"
932,"153009195"
933,"108542"
934,"1143-10-12T00:00:00Z"
935,"3035-867"
936,"\U0001F1F5\U0001F1F9"
937,"Portugal"
938,"countries/po"
939,"294932860"
940,"1382"
941,"4020-56409"
942,"85633735"
943,"portugal"
944,"portugal"
945,"1582-10-15T00:00:00Z"
946,"portogallo"
947,"portogallo"
948,"portogallo"
949,"portogallo_res-7e382c51-8b74-11dc-8e9d-0016357eee51"
950,"portogallo_res-ab896c51-87e6-11dc-8e9d-0016357eee51"
951,"portogallo_res-8aa89a2c-87e8-11dc-8e9d-0016357eee51"
952,"portogallo_res-d2b3551b-87e9-11dc-8e9d-0016357eee51"
953,"portogallo_res-fc49bc3e-87ea-11dc-8e9d-0016357eee51"
954,"portogallo_res-99af4f85-9b9d-11e2-9d1b-00271042e8d9"
955,"portogallo_res-5501663b-4529-11e7-a2fd-00271042e8d9"
956,"portogallo_res-e176b8de-9bc6-11e2-9d1b-00271042e8d9"
957,"https://www.portugal.gov.pt/en/gc21"
958,"7867"
959,"003368"
960,"560"
961,"4dnQJL"
962,"18847"
963,"+23"
964,"Portugal"
965,"Portugal"
966,"Portugal"
967,"Portugal"
968,"Portugal"
969,"\u054A\u0578\u0580\u057F\u0578\u0582\u0563\u0561\u056C\u056B\u0561"
970,"Portogallo"
971,"2563"
972,"economic-history-of-portugal"
973,"lccn-n80049716"
974,"138329"
975,"Europe's West Coast"
976,"Q45"
977,"978-972"
978,"978-989"
979,"Portugal"
980,"217"
981,"T068860"
982,"Portugal"
983,"A32"
984,"Z01.542.727"
985,"i83906"
986,"13287"
987,"113"
988,"H0008382"
989,"UsefulNotes/Portugal"
990,"p/7751f5e1-f2b7-4eab-8b4b-a3bc607b776a"
991,"e7794532-7bf2-4ceb-b000-b159dfcd1a56"
992,"9f837a06-e7b1-49e9-82ad-84bef5552b06"
993,"portugal"
994,"portugal"
995,"12226"
996,"\uD3EC\uB974\uD22C\uAC08"
997,"09007158-n"
998,"6"
999,"7122"
1000,"portugal"
1001,"224584"
1002,"T84-3498"
1003,"T115-3993"
1004,"portugal:Portugal"
1005,"europe:Portugal"
1006,"countries:Portugal"
1007,"cryptids12-everything:Portugal"
1008,"portugal"
1009,"19657657"
1010,"2074086"
1011,"10035701"
1012,"+4400"
1013,"1000007"
1014,"Point(0 -90)"
1015,"3449154260907624480002"
1016,"http://commons.wikimedia.org/wiki/Special:FilePath/Antarctica%20%28orthographic%20projection%29.svg"
1017,"http://commons.wikimedia.org/data/main/Data:Antarctica.map"
1018,"42863"
1019,"42864"
1020,"6255152"
1021,"+14000000"
1022,"+14200000"
1023,"pays/antarctique"
1024,"484"
1025,"3069"
1026,"1239992"
1027,"Earth_sciences/geologiya/ANTARKTIKA.html"
1028,"25204"
